Name,Latitude,Longitude,Bikes Available,Slots,Empty Slots,Banking,Ebikes
Courcelles - Place des Ternes,48.8782,2.299286,1,31,29,False,0
Cambronne - Villa Croix Nivert,48.845848,2.301757,32,62,30,False,11
Victor Hugo - Magasins Généraux,48.903281,2.368072,6,34,27,False,0
Gare Saint-Lazare - Cour du Havre,48.875674,2.32656,27,45,24,True,7
Guichet - Jean Jaurès,48.90517,2.302384,25,28,2,False,13
Claude Bernard - Arbalète,48.839767,2.347511,5,17,12,False,0
Rapp - Place du Général Gouraud,48.858103,2.300407,20,31,9,True,4
Edgar Quinet - Gaité,48.841161,2.324595,5,27,18,True,3
Place Carnot,48.855939,2.441532,7,25,18,True,2
Gravelle - Route du Bac,48.824407,2.418455,16,51,33,True,11
René Boulanger - Lancry,48.868543,2.360003,6,62,56,True,1
Ceinture du Lac Inferieure - Saint-Cloud,48.862181,2.261787,3,42,39,True,0
Anatole France - Jean Lolive,48.894992,2.425376,6,28,21,True,4
Boyer-Barret - Raymond Losserand,48.833299,2.317338,1,23,22,True,1
Piat - Parc de Belleville,48.871956,2.384981,15,21,6,False,2
Lagny - Joffre,48.849307,2.41795,8,31,23,False,2
Parc Monceau,48.881078,2.309549,2,18,15,False,2
Porte d'Orléans,48.822764,2.324931,11,48,36,True,5
Place Falguière,48.8363,2.310446,9,23,14,False,5
Vignerons - Minimes,48.841486,2.430793,14,29,15,True,3
Emeriau - Place de Brazzaville,48.850785,2.287159,39,51,11,True,2
Ecole Militaire - Place Joffre,48.85206,2.301799,12,26,12,True,1
Gare d'Austerlitz - Quai Saint-Bernard,48.84369,2.365716,0,27,27,True,0
Sommerard - Saint-Jacques,48.85031,2.345016,16,34,18,True,1
Tardieu - Chappe,48.884147,2.341845,0,18,17,False,0
Petites Ecuries - Faubourg Poissonnière,48.873972,2.348389,13,17,2,False,3
Gare de Bercy,48.839795,2.382607,34,35,0,True,8
Pierre Ginier - Clichy,48.886767,2.326228,2,16,14,True,2
Batignolles - Place de Clichy,48.883475,2.326493,2,47,44,True,2
Francoeur - Marcadet,48.891041,2.340015,8,20,9,True,8
Henri Chevreau - Couronnes,48.870332,2.388778,3,27,24,True,1
Pascal - Claude Bernard,48.839062,2.349978,23,49,26,True,1
Place Valhubert,48.844183,2.364037,16,37,19,True,2
Lamennais - Washington ,48.87353,2.303445,1,26,23,False,1
Lauriston - Copernic,48.86926,2.289918,3,19,12,False,2
Pierre Grenier - Pont de Billancourt,48.825802,2.248799,16,21,5,False,8
Vasco de Gama,48.836718,2.283664,43,54,11,False,4
Bineau - Louise Michel,48.886662,2.284327,0,0,0,False,0
Professeur René Leriche - Général Leclerc ,48.907828,2.307888,20,50,29,True,12
Bara - Henri Farman,48.833218,2.267757,16,36,20,False,2
Carrefour Pleyel,48.920342,2.343854,34,36,4,True,14
Navier - Epinettes,48.895878,2.322678,8,36,27,True,3
Ledru-Rollin - Charonne,48.853459,2.377246,16,32,15,False,2
Parc de Belleville - Julien Lacroix,48.870346,2.384221,3,26,21,False,3
Gare de l'Est - Verdun,48.876156,2.360915,6,14,5,False,4
